Unique Reference Number,School Name,Open/Closed?,Street,Locality,Town,Postcode,Primary School,Secondary School,Open Date,Close Date,Minor Group,Percentage of pupils eligible for FSM (Ever6),Number of pupils eligible for FSM (Ever6),,,
107809,Guiseley Primary School,,Oxford Road,Guiseley,Leeds,LS20 9DA,1,0,,,Maintained School,13.1%,72,,,
107810,Rawdon Littlemoor Primary School,,New Road Side,Rawdon,Leeds,LS19 6DD,1,0,,,Maintained School,10.5%,57,,,
107813,Scholes (Elmet) Primary School,,Station Road,Scholes,Leeds,LS15 4BJ,1,0,,,Maintained School,8.9%,26,,,
107817,Horsforth Featherbank Primary School,,Featherbank Avenue,Horsforth,Leeds,LS18 4QP,1,0,,,Maintained School,20.5%,27,,,
107820,Churwell Primary School,,Westwood Side,Churwell Morley,Leeds,LS27 9HR,1,0,,,Maintained School,14.3%,40,,,
107824,Seven Hills Primary School,,Appleby Way,Morley,Leeds,LS27 8LA,1,0,,,Maintained School,30.9%,61,,,
107833,Rothwell Haigh Road Infant School,,Haigh Road,Rothwell,Leeds,LS26 0NQ,1,0,,,Maintained School,31.1%,108,,,
107834,Woodlesford Primary School.,,Church Street,Woodlesford,Leeds,LS26 8RD,1,0,,,Maintained School,10.8%,28,,,
107840,Yeadon Westfield Junior School,,New Road,Yeadon,Leeds,LS19 7HW,1,0,,,Maintained School,21.5%,100,,,
107842,Oulton Primary School,,Green Lea,Oulton,Leeds,LS26 8NT,1,0,,,Maintained School,39.8%,117,,,
107846,West End Primary School,,West End Lane,Horsforth,Leeds,LS18 5JP,1,0,,,Maintained School,4.2%,17,,,
107848,Gildersome Primary School,,Town Street,Gildersome,Leeds,LS27 7AB,1,0,,,Maintained School,18.6%,25,,,
107851,Victoria Junior School,,Cornwall Crescent,Wood Lane,Leeds,LS26 0RA,1,0,,,Maintained School,41.5%,188,,,
107855,Tranmere Park Primary School,,Ridge Close,Tranmere Park,Leeds,LS20 8JJ,1,0,,,Maintained School,1.7%,7,,,
107858,Queensway Primary School,,Coppice Wood Avenue,Yeadon,Leeds,LS19 7LF,1,0,,,Maintained School,40.9%,213,,,
107859,Yeadon Westfield Infant School,,Westfield Grove,Yeadon,Leeds,LS19 7NQ,1,0,,,Maintained School,10.5%,37,,,
107860,Horsforth Newlaithes Primary School,,Victoria Crescent,Horsforth,Leeds,LS18 4PT,1,0,,,Maintained School,4.3%,7,,,
107861,Westbrook Lane Primary School,,Westbrook Lane,Horsforth,Leeds,LS18 5AH,1,0,,,Maintained School,5.1%,14,,,
107863,Birchfield Primary School,,Birchfield Avenue,Gildersome,Leeds,LS27 7HU,1,0,,,Maintained School,9.6%,36,,,
107866,Morley Victoria Primary School,,Victoria Road,Morley,Leeds,LS27 9NW,1,0,,,Maintained School,13.6%,23,,,
107868,Bardsey Primary School,,Woodacre Lane,Bardsey,Leeds,LS17 9DG,1,0,,,Maintained School,4.4%,22,,,
107870,Wigton Moor Primary School,,Barfield Crescent,,Leeds,LS17 8RU,1,0,,,Maintained School,10.2%,55,,,
107873,Ninelands Primary School,,Ninelands Lane,Garforth,Leeds,LS25 1NT,1,0,,,Maintained School,10.0%,17,,,
107874,Broadgate Primary School,,North Broadgate Lane,Horsforth,Leeds,LS18 5AF,1,0,,,Maintained School,37.9%,192,,,
107882,Bramhope Primary School,,Tredgold Crescent,Bramhope,Leeds,LS16 9BR,1,0,,,Maintained School,2.2%,6,,,
107883,Beecroft Primary School,,Eden Way,,Leeds,LS4 2TF,1,0,,,Maintained School,21.6%,44,,,
107884,Blenheim Primary School,,Lofthouse Place,,Leeds,LS2 9EX,1,0,,,Maintained School,44.1%,160,,,
107885,Brudenell Primary School,,School View,,Leeds,LS6 1EN,1,0,,,Maintained School,35.6%,51,,,
107886,Iveson Primary School,,Iveson Rise,Tinshill,Leeds,LS16 6LW,1,0,,,Maintained School,47.7%,213,,,
107887,Kirkstall Valley Primary School,,Argie Road,,Leeds,LS4 2QZ,1,0,,,Maintained School,36.7%,199,,,
107888,Little London Community Primary School,,Meanwood Street,,Leeds,LS7 1SR,1,0,,,Maintained School,47.3%,164,,,
107889,Quarry Mount Primary School,,Pennington Street,,Leeds,LS6 2JP,1,0,,,Maintained School,54.4%,272,,,
107890,Spring Bank Primary School,,Spring Road,,Leeds,LS6 1AD,1,0,,,Maintained School,21.4%,95,,,
